Id;Response_Market_Index;PROD_Formula;PER_sex;PER_Sex_Second_Driver;VEH_Actual_Value;CLA_HISTORY;CLA_HISTORY_1Y;CLA_HISTORY_3Y;CLA_BM_TPL_DECLARED;BEH_Mileage;PER_KIDS_ON_BOARD_ID;VEH_Number_of_doors;VEH_Top_Speed;BEH_Number_Year_Insured;VEH_TransmissionId;PER_Age_Main_Driver;PER_License_Age_Main_Driver;PER_License_Age_Second_Driver;PER_Matrimonial_Status;VEH_Age;VEH_Injection_Mode;VEH_fuel_type;BEH_vehicule_usage;VEH_Drive_type;VEH_Body;VEH_Segment;PER_Parking_Type;CLA_BM;VEH_engine_HP;VEH_pw_proportion;VEH_High_Risk_Vehicle;PER_previous_insurer;PER_Is_second_driver;PER_Age_oldest_child;PER_Second_Driver_Age;PER_Insured_Before;VEH_Weight;GEO_Lat;GEO_Long
1710244;646.42;BASIC;1;2;5501;1;1;1;7;13;3;3;185;1;7;30;13;2;1;11;389999;1;1;50001;10;30003;3;1;105;64;2;15;2;-99;24;1;1215;0.509123625092585;1.98555340977244
1710245;399;FULL;1;0;16620;2;2;2;1;13;3;5;157;10;7;39;22;-1;2;6;380008;2;1;50001;10;30002;2;10;75;42;1;32;1;-99;-1;1;1330;-1.90757637490741;1.46885340977244
1710254;259;FULL;1;2;55073;1;1;1;1;13;3;5;196;10;7;61;37;27;2;0;380002;1;1;50001;10;30002;2;10;120;70;2;21;2;-99;51;2;1270;-1.72417637490742;-0.481146590227564
1710255;259;FULL;1;2;55073;1;1;1;1;13;3;5;196;10;7;61;37;27;2;0;380002;1;1;50001;10;30002;2;10;120;70;2;21;2;-99;51;2;1270;-1.72417637490742;-0.481146590227564
1710258;394.5;FULL;1;0;23875;1;1;1;1;14;1;5;190;10;7;29;11;-1;2;3;380002;1;1;50001;9;30003;3;10;102;62;2;6;1;1;-1;2;1220;-1.47417637490742;0.00225340977243604
1710260;394.5;FULL;1;0;23875;1;1;1;1;14;1;5;190;10;7;29;11;-1;2;3;380002;1;1;50001;9;30003;3;10;102;62;2;6;1;1;-1;2;1220;-1.47417637490742;0.00225340977243604
1710271;320;BASIC;1;0;8095;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;2.42582362509258;0.368853409772434
1710273;319;FULL;1;0;8095;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;2.42582362509258;0.368853409772434
1710274;319;FULL;1;0;8095;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;2.42582362509258;0.368853409772434
1710275;814;FULL;2;0;7200;1;1;1;-1;13;2;5;160;-1;7;42;3;-1;5;12;389999;1;1;50001;10;30002;2;0;70;48;2;-99;1;18;-1;4;1070;-0.640876374907414;-1.98114659022756
